Date, Open, High, Low, Close, Volume,Company
12/30/22,160,160,160,160,700,WTK
12/29/22,155,155,152,154.25,1200,WTK
12/28/22,155,155,155,155,700,WTK
12/23/22,155,155,150,152.5,200,WTK
12/21/22,155,160,155,156.75,300,WTK
12/20/22,155,155,155,155,200,WTK
12/16/22,160,160,160,160,9600,WTK
12/15/22,160,160,160,160,500,WTK
12/14/22,160,160,160,160,1200,WTK
12/09/22,160,160,160,160,200,WTK
12/08/22,151,159,151,154.25,500,WTK
12/07/22,150,150,150,150,200,WTK
12/01/22,150,150,150,150,100,WTK
11/29/22,145,145,145,145,600,WTK
11/24/22,139,139,139,139,100,WTK
11/22/22,150,150,150,150,200,WTK
11/18/22,150,150,150,150,1000,WTK
11/17/22,137,137,137,137,100,WTK
11/16/22,150.25,151,150.25,151,6100,WTK
11/15/22,151,151,151,151,100,WTK
11/11/22,159,159,150.25,151,1100,WTK
11/10/22,161.5,161.5,161.5,161.5,100,WTK
11/09/22,161.5,161.5,161.5,161.5,500,WTK
11/08/22,164,164,164,164,200,WTK
11/07/22,164,164.5,164,164,800,WTK
11/03/22,164.75,164.75,164.75,164.75,500,WTK
11/02/22,165,165,161,161.75,1000,WTK
11/01/22,165,165,164.5,164.75,400,WTK
10/28/22,165,165,164,164.25,600,WTK
10/27/22,164.75,164.75,164.75,164.75,100,WTK
10/26/22,165,165,165,165,800,WTK
10/24/22,166,166,164,165,800,WTK
10/19/22,166,166,166,166,300,WTK
10/18/22,166,167,166,166.25,2300,WTK
10/17/22,167,167,167,167,200,WTK
10/14/22,167,167,167,167,100,WTK
10/12/22,168,168,168,168,2000,WTK
10/11/22,168,168,168,168,300,WTK
10/07/22,168,170,168,168.75,7300,WTK
10/06/22,168,168,168,168,4200,WTK
10/05/22,165,168,165,167.75,11000,WTK
10/04/22,159,168,159,164.5,600,WTK
10/03/22,159,159,159,159,1600,WTK
09/29/22,162,162,162,162,100,WTK
09/27/22,159,163,159,162.5,10700,WTK
09/26/22,159,159,159,159,200,WTK
09/23/22,164,164,159,161.5,400,WTK
09/22/22,157,159,157,158.25,1000,WTK
09/21/22,159,159,159,159,200,WTK
09/20/22,159,159,159,159,100,WTK
09/19/22,159,159,159,159,900,WTK
09/16/22,159,159,159,159,100,WTK
09/15/22,157.25,157.25,157.25,157.25,50000,WTK
09/14/22,160,160,156.75,157,52100,WTK
09/12/22,158,158,156.75,157,61400,WTK
09/09/22,156.5,156.5,156.5,156.5,100,WTK
09/08/22,155,157,155,156.5,2600,WTK
09/07/22,155,155,155,155,400,WTK
09/06/22,155,155,155,155,900,WTK
09/05/22,155,155,155,155,100,WTK
09/02/22,156.5,156.5,153,154.75,900,WTK
08/31/22,160,160,153,156.5,200,WTK
08/29/22,160,160,160,160,100,WTK
08/26/22,152.25,152.5,152.25,152.5,300,WTK
08/25/22,152,152,152,152,18000,WTK
08/24/22,152,152,152,152,700,WTK
08/23/22,152,152,151,151.75,400,WTK
08/22/22,150,150.25,150,150.25,27300,WTK
08/19/22,150,150,150,150,100,WTK
08/18/22,154,154,150,152.75,1500,WTK
08/17/22,150,150,150,150,5000,WTK
08/16/22,154,154,154,154,100,WTK
08/15/22,151,151,150,150,11200,WTK
08/12/22,152,155,152,153.25,4500,WTK
08/11/22,151,151,151,151,100,WTK
08/10/22,151.25,151.25,151,151,1400,WTK
08/08/22,151,152,151,151.25,20600,WTK
08/05/22,151,151.25,151,151,2200,WTK
08/04/22,152,152,151,151.25,15100,WTK
08/03/22,151,152,151,151.5,212100,WTK
08/02/22,151,152,151,151.75,34900,WTK
08/01/22,152,152,150,151.5,21600,WTK
07/29/22,150,155,150,152,6200,WTK
07/28/22,152,152.5,150,151.5,11400,WTK
07/27/22,151,157,150,152,13800,WTK
07/26/22,150,150,150,150,1600,WTK
07/25/22,152,152,150,150.75,2200,WTK
07/22/22,154,154,148,149.75,2300,WTK
07/21/22,148.25,153,148,148.25,4700,WTK
07/20/22,150,150,147.25,148.25,2800,WTK
07/19/22,145,145,145,145,100,WTK
07/18/22,150,150,146,147.25,5300,WTK
07/15/22,149.5,156,149.5,152.25,2600,WTK
07/14/22,154,154,154,154,600,WTK
07/13/22,152.75,157,147,149.5,3800,WTK
07/12/22,151.25,157,145,152.75,2000,WTK
07/08/22,149,157,149,151,2800,WTK
07/07/22,144,144,142,142.75,3100,WTK
07/06/22,140,143,140,142.75,3200,WTK
07/05/22,140,140,140,140,4500,WTK
07/04/22,138,138,138,138,800,WTK
07/01/22,130,137,130,130.75,38600,WTK
06/30/22,124,124,124,124,100,WTK
06/29/22,129.5,129.5,129.5,129.5,400,WTK
06/27/22,130,130,122,124.75,300,WTK
06/22/22,129.5,129.5,129.5,129.5,2200,WTK
06/20/22,125,125,125,125,300,WTK
06/16/22,130,130,130,130,4700,WTK
06/15/22,123,125,123,124,200,WTK
06/14/22,122,122,122,122,100,WTK
06/13/22,129.5,129.5,129.5,129.5,300,WTK
06/09/22,120,120,120,120,100,WTK
06/08/22,124,124,119,120,20500,WTK
06/07/22,129,129,129,129,100,WTK
06/06/22,127,128,127,127.5,200,WTK
06/02/22,129.5,129.5,125,127.25,200,WTK
05/31/22,126.5,129.5,126,126.5,8500,WTK
05/30/22,126.5,126.5,126.25,126.5,2200,WTK
05/27/22,129.75,129.75,129.75,129.75,200,WTK
05/26/22,129.75,130,129.75,129.75,1100,WTK
05/25/22,126,126,126,126,200,WTK
05/24/22,130,130,129.75,130,1100,WTK
05/23/22,130,130,130,130,1600,WTK
05/20/22,126.5,130,120.25,124.25,500,WTK
05/19/22,130,130,130,130,700,WTK
05/18/22,130,130,130,130,600,WTK
05/17/22,127,127,126.5,126.75,300,WTK
05/13/22,126.75,126.75,126.5,126.75,300,WTK
05/10/22,129,129,129,129,300,WTK
05/09/22,130,130,125,126.25,1200,WTK
05/04/22,125,125,120,124.5,1100,WTK
04/28/22,130,130,130,130,100,WTK
04/27/22,130,130,130,130,500,WTK
04/26/22,130,130,130,130,1500,WTK
04/25/22,133,133,133,133,400,WTK
04/22/22,130,130,130,130,200,WTK
04/21/22,133,133,133,133,400,WTK
04/20/22,134,134,133,133.25,68500,WTK
04/14/22,134,134,133,133.5,200,WTK
04/11/22,134,134,134,134,100,WTK
04/06/22,135,135,135,135,100,WTK
04/05/22,135,135,135,135,300,WTK
04/04/22,130.5,135,130.5,132.25,2100,WTK
03/31/22,135,135,135,135,500,WTK
